Korean;kore1280
Ket;kett1243
Lak;lakk1252
Kabardian;kaba1278
Georgian;nucl1302
Burushaski;buru1296
Kurukh;kuru1302
Telugu;telu1262
Kota;kota1263
Mundari;mund1320
Kharia;khar1287
Khasi;khas1269
Sedang;seda1262
Cambodian;cent1989
Vietnamese;viet1252
Mandarin Chinese;mand1415
Wu;wuch1236
Hakka;hakk1236
Cantonese;yuec1235
Yao;iumi1238
Dafla;nyis1236
Burmese;nucl1310
Lahu;lahu1253
Garo;garo1247
Karen;sgaw1245
Lakkia;lakk1238
Thai;thai1261
Yay;bouy1240
Cham;east2563
Atayal;atay1247
Malagasy;plat1254
Malay;stan1306
Batak;bata1289
Sa'ban;saba1265
Sundanese;sund1252
Javanese;java1254
Tagalog;taga1270
Chamorro;cham1312
Iai;iaai1238
Kaliai;kali1299
Adzera;adze1240
Maori;maor1246
Hawaiian;hawa1245
Western Desert;anta1253
Nyangumata;nyan1301
Kunjen;kunj1245
Maranungku;mara1386
Maung;maun1240
Nunggubuyu;nung1290
Alawa;alaw1244
Wik-Munkan;wikm1247
Sentani;nucl1632
Washkuk;kwom1262
Asmat;tamn1235
Telefol;tele1256
Gadsup;gads1258
Auyana;awiy1238
Kunimaipa;kuni1267
Selepet;sele1250
Nasioi;naas1242
Aleut;aleu1260
Inuit;kala1399
Chipewyan;chip1261
Chasta Costa;tolo1259
Hupa;hupa1239
Navaho;nava1243
Haida;sout2956
Squamish;squa1248
Salish;sout2965
Nootka;nuuc1236
Kwakiutl;kwak1269
Ojibwa;east2542
Delaware;unam1242
Wichita;wich1260
Dakota;lako1247
Seneca;sene1264
Oneida;onei1249
Yuchi;yuch1247
Alabama;alab1237
Tunica;tuni1252
Nez Perce;nezp1238
Maidu;nort2952
Zoque;copa1236
Totonac;papa1238
Chontal;taba1266
Tzeltal;tzel1254
Tarascan;pure1242
Karok;karo1304
Pomo;sout2982
Digueno;kumi1248
Zuni;zuni1245
Tiwa;picu1248
Tewa;tewa1260
Luiseno;luis1253
Hopi;hopi1249
Pima;toho1245
Otomi;mezq1235
Mazahua;cent2144
Mazateco;chiq1250
Mixtec;sanm1295
Cayapa;chac1249
Paez;paez1247
Itonama;iton1250
Quechua;sout2991
Aymara;jaqa1244
Araucanian;mapu1245
Island Carib;isla1278
Wapishana;wapi1253
Goajiro;wayu1243
Campa;asha1243
Moxo;igna1246
Amuesha;yane1238
Jivaro;shua1257
Barasano;waim1255
Ticuna;ticu1245
Carib;gali1262
Ocaina;ocai1244
Siriono;siri1273
Guarani;para1311
Amahuaca;amah1246
Chacobo;chac1251
Apinaye;apin1244
Shilha;tach1250
Hausa;haus1257
Angas;ngas1240
Margi;marg1265
Somali;soma1255
Awiya;awng1244
Iraqw;iraq1241
Tigre;tigr1270
Amharic;amha1245
Egyptian Arabic;egyp1253
Moroccan Arabic;moro1292
Maltese;malt1254
Modern Hebrew;hebr1245
Katcha;katc1250
Kpelle;libe1247
Wolof;nucl1347
Dagbani;dagb1246
Akan;akan1250
Ga;gaaa1244
Ewe;ewee1241
Igbo;nucl1417
Beembe;beem1239
Swahili;swah1253
Luvale;luva1239
Zulu;zulu1248
Gbeya;gbay1287
Songhai;koyr1242
Kanuri;cent2050
Logbara;lugb1240
Mahas-Fiyadikka;nobi1240
Luo;luok1236
Maasai;masa1300
Nama;nama1265
Irish Gaelic;iris1253
Breton;bret1244
Icelandic;icel1247
Norwegian;norw1259
English;stan1293
German;stan1295
French;stan1290
Portuguese;port1283
Spanish;stan1288
Rumanian;roma1327
Russian;russ1263
Bulgarian;bulg1262
Lithuanian;lith1251
Albanian;tosk1239
Modern Greek;mode1248
Armenian;nucl1235
Persian;west2369
Pashto;cent1973
Kashimiri;kash1277
Punjabi;panj1256
Hindi-Urdu;hind1269
Bengali;beng1280
Sinhalese;sinh1246
Basque;basq1248
Finnish;finn1318
Cheremis;east2328
Komi;komi1268
Hungarian;hung1274
Ostyak;khan1273
Yurak;nene1249
Turkish;nucl1301
Azerbaijani;nort2697
Kirghiz;kirg1245
Chuvash;chuv1255
Yakut;yaku1245
Khalkha;halh1238
Even;even1260
Yukaghir;nort2745
Gilyak;gily1242
Chukchi;chuk1273
Ainu;ainu1240
Japanese;nucl1643
KOTOKO;afad1236
ACHUMAWI;achu1247
ADZERA;adze1240
ARRERNTE;east2379
AMELE;amel1241
ANGAATIHA;anga1290
AGHEM;aghe1239
AIZI;apro1235
AHTNA;ahte1237
AINU;ainu1240
AKAN;akan1250
AKAWAIO;akaw1239
ALABAMA;alab1237
QAWASQAR;qawa1238
ALLADIAN;alla1248
ALEUT;aleu1260
ALAWA;alaw1244
ALBANIAN;tosk1239
AMAHUACA;amah1246
AMUESHA;yane1238
HAMER;hame1242
AMHARIC;amha1245
AMO;amoo1242
ALAMBLAK;alam1246
AMUZGO;guer1243
ANGAS;ngas1240
ANDOKE;ando1256
WESTERN DESERT;anta1253
APINAYE;apin1244
ANDAMANESE;apuc1241
ARCHI;arch1244
ARABELA;arab1268
ARAUCANIAN;mapu1245
ARABIC;egyp1253
AUCA;waor1240
